,#,Title,Acceptance,Difficulty,Frequency
0,1,Two Sum,47.8%,Easy,58.0123
1,2,Add Two Numbers,37.2%,Medium,31.9447
2,3,Longest Substring Without Repeating Characters,32.4%,Medium,32.695
3,4,Median of Two Sorted Arrays,32.9%,Hard,27.9942
4,5,Longest Palindromic Substring,31.4%,Medium,28.7903
5,6,Zigzag Conversion,40.0%,Medium,3.97038
6,7,Reverse Integer,26.2%,Medium,11.1729
7,8,String to Integer (atoi),16.1%,Medium,41.5999
8,9,Palindrome Number,51.6%,Easy,2.10955
9,10,Regular Expression Matching,28.0%,Hard,82.1706
10,11,Container With Most Water,53.2%,Medium,19.0609
11,13,Roman to Integer,57.7%,Easy,26.2349
12,14,Longest Common Prefix,38.1%,Easy,15.2399
13,15,3Sum,29.8%,Medium,66.334
14,16,3Sum Closest,46.9%,Medium,19.6759
15,17,Letter Combinations of a Phone Number,51.9%,Medium,62.6531
16,19,Remove Nth Node From End of List,37.1%,Medium,18.9031
17,20,Valid Parentheses,40.5%,Easy,39.6427
18,21,Merge Two Sorted Lists,58.3%,Easy,22.2975
19,22,Generate Parentheses,68.3%,Medium,27.6348
20,23,Merge k Sorted Lists,45.0%,Hard,75.5391
21,24,Swap Nodes in Pairs,55.9%,Medium,14.9488
22,25,Reverse Nodes in k-Group,48.7%,Hard,23.3407
23,26,Remove Duplicates from Sorted Array,47.7%,Easy,13.7393
24,28,Implement strStr(),35.7%,Easy,15.9026
25,29,Divide Two Integers,17.0%,Medium,78.8039
26,30,Substring with Concatenation of All Words,27.3%,Hard,14.5741
27,31,Next Permutation,34.7%,Medium,73.4256
28,32,Longest Valid Parentheses,30.7%,Hard,37.3927
29,33,Search in Rotated Sorted Array,37.0%,Medium,47.8461
30,34,Find First and Last Position of Element in Sorted Array,38.9%,Medium,54.6831
31,35,Search Insert Position,42.5%,Easy,0.329485
32,36,Valid Sudoku,53.4%,Medium,7.58286
33,37,Sudoku Solver,51.5%,Hard,11.537
34,38,Count and Say,47.6%,Medium,29.6205
35,39,Combination Sum,62.5%,Medium,31.5575
36,40,Combination Sum II,51.5%,Medium,8.11075
37,41,First Missing Positive,35.2%,Hard,16.1063
38,42,Trapping Rain Water,54.2%,Hard,67.1846
39,43,Multiply Strings,36.2%,Medium,59.7941
40,44,Wildcard Matching,26.1%,Hard,30.8772
41,45,Jump Game II,35.1%,Medium,5.58837
42,46,Permutations,69.9%,Medium,28.8126
43,47,Permutations II,52.1%,Medium,7.49883
44,48,Rotate Image,64.0%,Medium,11.9496
45,49,Group Anagrams,62.3%,Medium,26.7862
46,50,"Pow(x, n)",31.6%,Medium,56.2603
47,51,N-Queens,54.6%,Hard,37.9041
48,53,Maximum Subarray,48.9%,Easy,24.4381
49,54,Spiral Matrix,39.3%,Medium,20.1754
50,55,Jump Game,36.8%,Medium,4.24947
51,56,Merge Intervals,43.2%,Medium,71.4698
52,57,Insert Interval,36.6%,Medium,33.886
53,60,Permutation Sequence,40.9%,Hard,7.80118
54,62,Unique Paths,58.1%,Medium,19.5942
55,63,Unique Paths II,36.6%,Medium,8.82065
56,64,Minimum Path Sum,58.1%,Medium,1.07504
57,65,Valid Number,17.3%,Hard,73.4022
58,66,Plus One,42.1%,Easy,10.1566
59,67,Add Binary,48.9%,Easy,95.1362
60,68,Text Justification,32.9%,Hard,12.3046
61,69,Sqrt(x),36.0%,Easy,9.15581
62,70,Climbing Stairs,50.0%,Easy,1.62233
