,#,Title,Acceptance,Difficulty,Frequency
0,1,Two Sum,47.8%,Easy,92.9795
1,2,Add Two Numbers,37.2%,Medium,62.6542
2,3,Longest Substring Without Repeating Characters,32.4%,Medium,46.2304
3,4,Median of Two Sorted Arrays,32.9%,Hard,58.6748
4,5,Longest Palindromic Substring,31.4%,Medium,41.864
5,7,Reverse Integer,26.2%,Medium,31.9586
6,8,String to Integer (atoi),16.1%,Medium,25.5221
7,9,Palindrome Number,51.6%,Easy,10.3138
8,10,Regular Expression Matching,28.0%,Hard,58.0573
9,11,Container With Most Water,53.2%,Medium,33.9754
10,12,Integer to Roman,58.4%,Medium,15.0285
11,13,Roman to Integer,57.7%,Easy,12.3883
12,14,Longest Common Prefix,38.1%,Easy,22.4799
13,15,3Sum,29.8%,Medium,41.1346
14,16,3Sum Closest,46.9%,Medium,12.4152
15,17,Letter Combinations of a Phone Number,51.9%,Medium,48.2806
16,18,4Sum,36.7%,Medium,29.8571
17,20,Valid Parentheses,40.5%,Easy,36.1533
18,21,Merge Two Sorted Lists,58.3%,Easy,21.957
19,22,Generate Parentheses,68.3%,Medium,34.1174
20,23,Merge k Sorted Lists,45.0%,Hard,51.5542
21,24,Swap Nodes in Pairs,55.9%,Medium,6.76658
22,25,Reverse Nodes in k-Group,48.7%,Hard,17.5947
23,26,Remove Duplicates from Sorted Array,47.7%,Easy,9.02705
24,27,Remove Element,50.4%,Easy,3.65414
25,28,Implement strStr(),35.7%,Easy,6.09299
26,29,Divide Two Integers,17.0%,Medium,14.7535
27,30,Substring with Concatenation of All Words,27.3%,Hard,15.2184
28,31,Next Permutation,34.7%,Medium,38.9041
29,32,Longest Valid Parentheses,30.7%,Hard,25.8671
30,33,Search in Rotated Sorted Array,37.0%,Medium,29.8829
31,34,Find First and Last Position of Element in Sorted Array,38.9%,Medium,34.128
32,35,Search Insert Position,42.5%,Easy,2.29487
33,36,Valid Sudoku,53.4%,Medium,21.9318
34,37,Sudoku Solver,51.5%,Hard,32.1141
35,38,Count and Say,47.6%,Medium,40.8059
36,39,Combination Sum,62.5%,Medium,8.80403
37,40,Combination Sum II,51.5%,Medium,2.50833
38,41,First Missing Positive,35.2%,Hard,39.7052
39,42,Trapping Rain Water,54.2%,Hard,69.9961
40,43,Multiply Strings,36.2%,Medium,35.4737
41,44,Wildcard Matching,26.1%,Hard,38.9878
42,45,Jump Game II,35.1%,Medium,10.805
43,46,Permutations,69.9%,Medium,20.5243
44,48,Rotate Image,64.0%,Medium,24.7398
45,49,Group Anagrams,62.3%,Medium,24.8441
46,50,"Pow(x, n)",31.6%,Medium,34.716
47,51,N-Queens,54.6%,Hard,15.0893
48,53,Maximum Subarray,48.9%,Easy,29.9007
49,54,Spiral Matrix,39.3%,Medium,44.5281
50,55,Jump Game,36.8%,Medium,14.7498
51,56,Merge Intervals,43.2%,Medium,65.4889
52,57,Insert Interval,36.6%,Medium,48.8056
53,58,Length of Last Word,35.0%,Easy,0.743381
54,59,Spiral Matrix II,60.4%,Medium,7.18154
55,60,Permutation Sequence,40.9%,Hard,12.666
56,62,Unique Paths,58.1%,Medium,37.3487
57,63,Unique Paths II,36.6%,Medium,23.1276
58,64,Minimum Path Sum,58.1%,Medium,31.5807
