,#,Title,Acceptance,Difficulty,Frequency
0,1,Two Sum,47.8%,Easy,16.8257
1,5,Longest Palindromic Substring,31.4%,Medium,6.78087
2,13,Roman to Integer,57.7%,Easy,23.0838
3,54,Spiral Matrix,39.3%,Medium,20.0915
4,84,Largest Rectangle in Histogram,39.0%,Hard,15.4769
5,146,LRU Cache,38.3%,Medium,38.6393
6,206,Reverse Linked List,68.3%,Easy,2.72764
7,207,Course Schedule,44.7%,Medium,6.80559
8,270,Closest Binary Search Tree Value,52.3%,Easy,69.1897
9,347,Top K Frequent Elements,63.7%,Medium,14.828
10,394,Decode String,54.6%,Medium,74.3699
11,621,Task Scheduler,53.7%,Medium,24.4884
12,820,Short Encoding of Words,55.1%,Medium,100
13,1004,Max Consecutive Ones III,61.6%,Medium,43.5597
