,#,Title,Acceptance,Difficulty,Frequency
0,162,Find Peak Element,45.0%,Medium,9.49792
1,239,Sliding Window Maximum,45.7%,Hard,1.34272
2,300,Longest Increasing Subsequence,47.3%,Medium,1.03569
3,380,Insert Delete GetRandom O(1),50.7%,Medium,5.00646
4,381,Insert Delete GetRandom O(1) - Duplicates allowed,35.2%,Hard,7.98332
5,1317,Convert Integer to the Sum of Two No-Zero Integers,57.4%,Easy,0
6,1342,Number of Steps to Reduce a Number to Zero,85.6%,Easy,0
7,1323,Maximum 69 Number,78.5%,Easy,11.9402
8,1566,Detect Pattern of Length M Repeated K or More Times,43.4%,Easy,0
9,1611,Minimum One Bit Operations to Make Integers Zero,61.6%,Hard,70.4348
10,1775,Equal Sum Arrays With Minimum Number of Operations,50.9%,Medium,100
11,1901,Find a Peak Element II,55.9%,Medium,41.5054
