,#,Title,Acceptance,Difficulty,Frequency
0,2,Add Two Numbers,37.2%,Medium,13.5342
1,3,Longest Substring Without Repeating Characters,32.4%,Medium,51.93
2,5,Longest Palindromic Substring,31.4%,Medium,17.2792
3,45,Jump Game II,35.1%,Medium,52.5806
4,54,Spiral Matrix,39.3%,Medium,5.72213
5,69,Sqrt(x),36.0%,Easy,9.71663
6,70,Climbing Stairs,50.0%,Easy,7.57036
7,77,Combinations,61.1%,Medium,7.94339
8,84,Largest Rectangle in Histogram,39.0%,Hard,9.89709
9,221,Maximal Square,41.3%,Medium,100
10,235,Lowest Common Ancestor of a Binary Search Tree,54.9%,Easy,6.06272
11,355,Design Twitter,33.4%,Medium,72.4426
12,617,Merge Two Binary Trees,76.9%,Easy,23.6215
13,739,Daily Temperatures,66.1%,Medium,24.3726
14,1702,Maximum Binary String After Change,44.4%,Medium,0
