,#,Title,Acceptance,Difficulty,Frequency
0,1,Two Sum,47.8%,Easy,15.8832
1,5,Longest Palindromic Substring,31.4%,Medium,3.31118
2,8,String to Integer (atoi),16.1%,Medium,8.17011
3,12,Integer to Roman,58.4%,Medium,22.1943
4,13,Roman to Integer,57.7%,Easy,11.5983
5,20,Valid Parentheses,40.5%,Easy,24.9468
6,21,Merge Two Sorted Lists,58.3%,Easy,1.4787
7,23,Merge k Sorted Lists,45.0%,Hard,4.77884
8,33,Search in Rotated Sorted Array,37.0%,Medium,28.733
9,34,Find First and Last Position of Element in Sorted Array,38.9%,Medium,21.7199
10,39,Combination Sum,62.5%,Medium,2.35473
11,40,Combination Sum II,51.5%,Medium,2.28286
12,46,Permutations,69.9%,Medium,17.7883
13,47,Permutations II,52.1%,Medium,8.50608
14,50,"Pow(x, n)",31.6%,Medium,39.8881
15,53,Maximum Subarray,48.9%,Easy,39.8383
16,56,Merge Intervals,43.2%,Medium,22.9086
17,57,Insert Interval,36.6%,Medium,16.3492
18,61,Rotate List,33.0%,Medium,7.95321
19,65,Valid Number,17.3%,Hard,62.6842
20,68,Text Justification,32.9%,Hard,53.6605
21,69,Sqrt(x),36.0%,Easy,17.3357
22,70,Climbing Stairs,50.0%,Easy,0.514536
23,72,Edit Distance,49.2%,Hard,35.6725
24,75,Sort Colors,52.8%,Medium,0.587022
25,76,Minimum Window Substring,37.9%,Hard,33.0485
26,81,Search in Rotated Sorted Array II,34.2%,Medium,10.8171
27,88,Merge Sorted Array,42.2%,Easy,2.68037
28,100,Same Tree,54.9%,Easy,4.87724
29,101,Symmetric Tree,50.2%,Easy,10.0841
30,102,Binary Tree Level Order Traversal,59.2%,Medium,29.548
31,103,Binary Tree Zigzag Level Order Traversal,52.1%,Medium,7.78
32,104,Maximum Depth of Binary Tree,70.1%,Easy,16.8128
33,126,Word Ladder II,25.8%,Hard,14.5199
34,127,Word Ladder,33.7%,Hard,27.5865
35,128,Longest Consecutive Sequence,48.0%,Medium,0.675301
36,141,Linked List Cycle,44.3%,Easy,0.376459
37,146,LRU Cache,38.3%,Medium,12.9329
38,149,Max Points on a Line,19.2%,Hard,72.6945
39,150,Evaluate Reverse Polish Notation,40.7%,Medium,55.8059
40,151,Reverse Words in a String,26.8%,Medium,6.45243
41,152,Maximum Product Subarray,33.6%,Medium,38.3162
42,156,Binary Tree Upside Down,58.3%,Medium,74.856
43,159,Longest Substring with At Most Two Distinct Characters,51.7%,Medium,1.34948
44,160,Intersection of Two Linked Lists,47.5%,Easy,12.6611
45,170,Two Sum III - Data structure design,35.9%,Easy,92.5289
46,173,Binary Search Tree Iterator,63.3%,Medium,4.14475
47,187,Repeated DNA Sequences,43.0%,Medium,33.6917
48,198,House Robber,45.0%,Medium,1.14746
49,200,Number of Islands,52.0%,Medium,35.4098
50,205,Isomorphic Strings,41.6%,Easy,46.6908
51,207,Course Schedule,44.7%,Medium,0.206776
52,215,Kth Largest Element in an Array,61.4%,Medium,21.3884
53,224,Basic Calculator,39.5%,Hard,1.69499
54,226,Invert Binary Tree,69.8%,Easy,0.371479
55,230,Kth Smallest Element in a BST,65.1%,Medium,0.927849
56,235,Lowest Common Ancestor of a Binary Search Tree,54.9%,Easy,23.2839
57,236,Lowest Common Ancestor of a Binary Tree,52.7%,Medium,25.9356
58,238,Product of Array Except Self,62.7%,Medium,1.11176
59,243,Shortest Word Distance,63.4%,Easy,73.3899
60,244,Shortest Word Distance II,57.4%,Medium,98.5097
61,245,Shortest Word Distance III,56.7%,Medium,37.307
62,254,Factor Combinations,48.3%,Medium,69.1933
63,256,Paint House,56.7%,Medium,70.3992
64,261,Graph Valid Tree,44.7%,Medium,34.095
65,265,Paint House II,48.6%,Hard,56.2446
66,272,Closest Binary Search Tree Value II,54.7%,Hard,85.1388
67,273,Integer to English Words,29.0%,Hard,28.2715
68,277,Find the Celebrity,45.4%,Medium,30.0717
69,297,Serialize and Deserialize Binary Tree,52.1%,Hard,52.8348
70,311,Sparse Matrix Multiplication,65.0%,Medium,10.7128
71,319,Bulb Switcher,46.4%,Medium,15.6461
72,323,Number of Connected Components in an Undirected Graph,59.8%,Medium,5.08398
73,329,Longest Increasing Path in a Matrix,48.3%,Hard,0.31981
74,339,Nested List Weight Sum,78.5%,Medium,91.1196
75,340,Longest Substring with At Most K Distinct Characters,46.7%,Medium,1.0951
76,341,Flatten Nested List Iterator,57.5%,Medium,57.1033
77,349,Intersection of Two Arrays,67.4%,Easy,7.43307
78,350,Intersection of Two Arrays II,53.8%,Easy,1.53178
79,360,Sort Transformed Array,51.7%,Medium,13.7274
80,361,Bomb Enemy,49.0%,Medium,7.38089
81,364,Nested List Weight Sum II,66.1%,Medium,100
82,366,Find Leaves of Binary Tree,75.0%,Medium,57.316
83,367,Valid Perfect Square,42.6%,Easy,15.2655
