,#,Title,Acceptance,Difficulty,Frequency
0,1,Two Sum,47.8%,Easy,89.1057
1,2,Add Two Numbers,37.2%,Medium,82.5878
2,3,Longest Substring Without Repeating Characters,32.4%,Medium,50.6033
3,4,Median of Two Sorted Arrays,32.9%,Hard,71.0649
4,5,Longest Palindromic Substring,31.4%,Medium,78.6582
5,6,Zigzag Conversion,40.0%,Medium,7.16534
6,7,Reverse Integer,26.2%,Medium,28.6043
7,8,String to Integer (atoi),16.1%,Medium,78.5065
8,9,Palindrome Number,51.6%,Easy,14.8847
9,10,Regular Expression Matching,28.0%,Hard,74.488
10,11,Container With Most Water,53.2%,Medium,24.754
11,12,Integer to Roman,58.4%,Medium,50.6837
12,13,Roman to Integer,57.7%,Easy,44.9412
13,14,Longest Common Prefix,38.1%,Easy,14.099
14,15,3Sum,29.8%,Medium,41.062
15,16,3Sum Closest,46.9%,Medium,6.04185
16,17,Letter Combinations of a Phone Number,51.9%,Medium,77.4599
17,18,4Sum,36.7%,Medium,4.62754
18,19,Remove Nth Node From End of List,37.1%,Medium,25.6789
19,20,Valid Parentheses,40.5%,Easy,57.8708
20,21,Merge Two Sorted Lists,58.3%,Easy,64.9303
21,22,Generate Parentheses,68.3%,Medium,56.8836
22,23,Merge k Sorted Lists,45.0%,Hard,69.5769
23,24,Swap Nodes in Pairs,55.9%,Medium,57.1112
24,25,Reverse Nodes in k-Group,48.7%,Hard,76.0926
25,26,Remove Duplicates from Sorted Array,47.7%,Easy,20.9517
26,28,Implement strStr(),35.7%,Easy,22.1158
27,29,Divide Two Integers,17.0%,Medium,22.1328
28,30,Substring with Concatenation of All Words,27.3%,Hard,15.2545
29,31,Next Permutation,34.7%,Medium,42.3158
30,32,Longest Valid Parentheses,30.7%,Hard,28.2727
31,33,Search in Rotated Sorted Array,37.0%,Medium,70.616
32,34,Find First and Last Position of Element in Sorted Array,38.9%,Medium,8.95212
33,35,Search Insert Position,42.5%,Easy,0.324397
34,36,Valid Sudoku,53.4%,Medium,38.5774
35,37,Sudoku Solver,51.5%,Hard,53.5
36,38,Count and Say,47.6%,Medium,29.315
37,39,Combination Sum,62.5%,Medium,24.7614
38,40,Combination Sum II,51.5%,Medium,7.95695
39,41,First Missing Positive,35.2%,Hard,53.3522
40,42,Trapping Rain Water,54.2%,Hard,78.527
41,43,Multiply Strings,36.2%,Medium,51.8572
42,44,Wildcard Matching,26.1%,Hard,64.9281
43,45,Jump Game II,35.1%,Medium,12.9109
44,46,Permutations,69.9%,Medium,45.7485
