,#,Title,Acceptance,Difficulty,Frequency
0,34,Find First and Last Position of Element in Sorted Array,38.9%,Medium,4.07896
1,56,Merge Intervals,43.2%,Medium,18.2531
2,68,Text Justification,32.9%,Hard,4.82073
3,98,Validate Binary Search Tree,29.7%,Medium,1.99664
4,155,Min Stack,48.8%,Easy,3.23474
5,253,Meeting Rooms II,48.4%,Medium,7.83231
6,273,Integer to English Words,29.0%,Hard,49.5266
7,295,Find Median from Data Stream,49.5%,Hard,18.8465
8,362,Design Hit Counter,66.5%,Medium,11.1912
9,981,Time Based Key-Value Store,53.4%,Medium,100
10,1142,User Activity for the Past 30 Days II,35.7%,Easy,80.2067
