,#,Title,Acceptance,Difficulty,Frequency
0,1,Two Sum,47.8%,Easy,39.8694
1,2,Add Two Numbers,37.2%,Medium,10.1168
2,3,Longest Substring Without Repeating Characters,32.4%,Medium,7.87584
3,4,Median of Two Sorted Arrays,32.9%,Hard,6.04654
4,5,Longest Palindromic Substring,31.4%,Medium,16.0862
5,7,Reverse Integer,26.2%,Medium,3.1432
6,8,String to Integer (atoi),16.1%,Medium,0.98829
7,9,Palindrome Number,51.6%,Easy,0.532235
8,10,Regular Expression Matching,28.0%,Hard,7.27172
9,12,Integer to Roman,58.4%,Medium,7.68253
10,13,Roman to Integer,57.7%,Easy,6.05405
11,14,Longest Common Prefix,38.1%,Easy,2.65663
12,15,3Sum,29.8%,Medium,5.57911
13,16,3Sum Closest,46.9%,Medium,4.83546
14,17,Letter Combinations of a Phone Number,51.9%,Medium,22.1488
15,19,Remove Nth Node From End of List,37.1%,Medium,1.55147
16,20,Valid Parentheses,40.5%,Easy,17.6053
17,21,Merge Two Sorted Lists,58.3%,Easy,6.74949
18,22,Generate Parentheses,68.3%,Medium,5.03433
19,23,Merge k Sorted Lists,45.0%,Hard,48.6642
20,24,Swap Nodes in Pairs,55.9%,Medium,3.25287
21,25,Reverse Nodes in k-Group,48.7%,Hard,0.321762
22,26,Remove Duplicates from Sorted Array,47.7%,Easy,1.08125
23,27,Remove Element,50.4%,Easy,0.253473
24,28,Implement strStr(),35.7%,Easy,0.830428
25,31,Next Permutation,34.7%,Medium,0.90757
26,32,Longest Valid Parentheses,30.7%,Hard,8.01915
27,33,Search in Rotated Sorted Array,37.0%,Medium,28.1769
28,34,Find First and Last Position of Element in Sorted Array,38.9%,Medium,8.38199
29,36,Valid Sudoku,53.4%,Medium,10.2401
30,37,Sudoku Solver,51.5%,Hard,16.478
31,38,Count and Say,47.6%,Medium,5.85081
32,39,Combination Sum,62.5%,Medium,1.40938
33,41,First Missing Positive,35.2%,Hard,14.0367
34,42,Trapping Rain Water,54.2%,Hard,12.1766
35,43,Multiply Strings,36.2%,Medium,7.10218
36,46,Permutations,69.9%,Medium,9.11719
37,48,Rotate Image,64.0%,Medium,1.81859
38,49,Group Anagrams,62.3%,Medium,6.65527
39,50,"Pow(x, n)",31.6%,Medium,5.01662
40,51,N-Queens,54.6%,Hard,3.60479
41,53,Maximum Subarray,48.9%,Easy,11.6718
42,54,Spiral Matrix,39.3%,Medium,26.6978
43,55,Jump Game,36.8%,Medium,2.96705
44,56,Merge Intervals,43.2%,Medium,30.2773
45,57,Insert Interval,36.6%,Medium,3.85336
46,59,Spiral Matrix II,60.4%,Medium,4.57148
47,62,Unique Paths,58.1%,Medium,3.11527
48,65,Valid Number,17.3%,Hard,2.58461
49,67,Add Binary,48.9%,Easy,0.82194
