,#,Title,Acceptance,Difficulty,Frequency
0,1,Two Sum,47.8%,Easy,18.1736
1,2,Add Two Numbers,37.2%,Medium,4.97933
2,3,Longest Substring Without Repeating Characters,32.4%,Medium,5.40111
3,4,Median of Two Sorted Arrays,32.9%,Hard,3.50468
4,5,Longest Palindromic Substring,31.4%,Medium,3.20642
5,6,Zigzag Conversion,40.0%,Medium,94.4522
6,11,Container With Most Water,53.2%,Medium,0.669385
7,12,Integer to Roman,58.4%,Medium,6.66241
8,14,Longest Common Prefix,38.1%,Easy,0.454471
9,15,3Sum,29.8%,Medium,1.51637
10,19,Remove Nth Node From End of List,37.1%,Medium,0.221394
11,20,Valid Parentheses,40.5%,Easy,8.20767
12,22,Generate Parentheses,68.3%,Medium,1.64711
13,26,Remove Duplicates from Sorted Array,47.7%,Easy,0.0865401
14,33,Search in Rotated Sorted Array,37.0%,Medium,2.76859
15,34,Find First and Last Position of Element in Sorted Array,38.9%,Medium,0.873647
16,46,Permutations,69.9%,Medium,4.19878
17,49,Group Anagrams,62.3%,Medium,3.86759
18,53,Maximum Subarray,48.9%,Easy,2.714
19,54,Spiral Matrix,39.3%,Medium,13.909
20,56,Merge Intervals,43.2%,Medium,14.5236
21,68,Text Justification,32.9%,Hard,9.99141
22,73,Set Matrix Zeroes,46.7%,Medium,3.33406
23,75,Sort Colors,52.8%,Medium,0.58585
24,79,Word Search,38.9%,Medium,0.247694
25,82,Remove Duplicates from Sorted List II,41.2%,Medium,2.53218
26,83,Remove Duplicates from Sorted List,47.8%,Easy,0.204343
27,88,Merge Sorted Array,42.2%,Easy,0.638736
28,91,Decode Ways,28.9%,Medium,0.626686
29,102,Binary Tree Level Order Traversal,59.2%,Medium,5.06545
30,109,Convert Sorted List to Binary Search Tree,53.9%,Medium,0.96041
31,112,Path Sum,44.1%,Easy,0.212325
32,121,Best Time to Buy and Sell Stock,52.9%,Easy,3.09193
33,122,Best Time to Buy and Sell Stock II,60.4%,Medium,0.388284
34,128,Longest Consecutive Sequence,48.0%,Medium,1.86134
35,146,LRU Cache,38.3%,Medium,35.784
36,149,Max Points on a Line,19.2%,Hard,1.21445
37,151,Reverse Words in a String,26.8%,Medium,1.5139
38,155,Min Stack,48.8%,Easy,0.444275
39,160,Intersection of Two Linked Lists,47.5%,Easy,1.48474
40,162,Find Peak Element,45.0%,Medium,0.843364
41,189,Rotate Array,37.2%,Medium,1.34322
42,199,Binary Tree Right Side View,58.2%,Medium,3.50702
43,200,Number of Islands,52.0%,Medium,1.05435
44,202,Happy Number,52.2%,Easy,8.66327
45,206,Reverse Linked List,68.3%,Easy,4.49466
46,215,Kth Largest Element in an Array,61.4%,Medium,0.996814
47,221,Maximal Square,41.3%,Medium,2.07618
