,#,Title,Acceptance,Difficulty,Frequency
0,23,Merge k Sorted Lists,45.0%,Hard,0.607104
1,36,Valid Sudoku,53.4%,Medium,2.9683
2,37,Sudoku Solver,51.5%,Hard,4.31209
3,68,Text Justification,32.9%,Hard,6.9276
4,71,Simplify Path,36.4%,Medium,0.55333
5,76,Minimum Window Substring,37.9%,Hard,2.51808
6,79,Word Search,38.9%,Medium,2.90976
7,126,Word Ladder II,25.8%,Hard,9.27181
8,146,LRU Cache,38.3%,Medium,4.8416
9,202,Happy Number,52.2%,Easy,4.82071
10,208,Implement Trie (Prefix Tree),55.8%,Medium,1.42474
11,210,Course Schedule II,44.9%,Medium,2.26608
12,269,Alien Dictionary,34.3%,Hard,41.6042
13,277,Find the Celebrity,45.4%,Medium,63.8343
14,298,Binary Tree Longest Consecutive Sequence,49.7%,Medium,3.89502
15,323,Number of Connected Components in an Undirected Graph,59.8%,Medium,1.388
16,362,Design Hit Counter,66.5%,Medium,36.011
17,373,Find K Pairs with Smallest Sums,38.9%,Medium,1.45014
18,392,Is Subsequence,50.0%,Easy,5.13751
19,529,Minesweeper,63.4%,Medium,3.99486
20,571,Find Median Given Frequency of Numbers,45.3%,Hard,0
21,621,Task Scheduler,53.7%,Medium,6.15309
22,698,Partition to K Equal Sum Subsets,45.8%,Medium,1.86753
23,720,Longest Word in Dictionary,50.3%,Medium,0
24,721,Accounts Merge,54.2%,Medium,1.2807
25,723,Candy Crush,74.1%,Medium,3.80925
26,726,Number of Atoms,51.4%,Hard,12.6786
27,759,Employee Free Time,70.2%,Hard,100
28,811,Subdomain Visit Count,73.1%,Medium,77.7699
29,710,Random Pick with Blacklist,33.1%,Hard,32.9003
30,986,Interval List Intersections,69.7%,Medium,0.26869
31,1306,Jump Game III,61.6%,Medium,4.61509
