,#,Title,Acceptance,Difficulty,Frequency
0,14,Longest Common Prefix,38.1%,Easy,4.43729
1,48,Rotate Image,64.0%,Medium,2.12451
2,68,Text Justification,32.9%,Hard,0.994507
3,113,Path Sum II,52.3%,Medium,4.64954
4,139,Word Break,43.3%,Medium,0.142804
5,162,Find Peak Element,45.0%,Medium,5.9157
6,253,Meeting Rooms II,48.4%,Medium,6.65644
7,297,Serialize and Deserialize Binary Tree,52.1%,Hard,27.7761
8,380,Insert Delete GetRandom O(1),50.7%,Medium,3.2428
9,381,Insert Delete GetRandom O(1) - Duplicates allowed,35.2%,Hard,0.602343
10,437,Path Sum III,49.6%,Medium,4.67369
11,493,Reverse Pairs,28.8%,Hard,0.677641
12,498,Diagonal Traverse,53.3%,Medium,5.9826
13,560,Subarray Sum Equals K,43.7%,Medium,0.976424
14,717,1-bit and 2-bit Characters,46.3%,Easy,0
15,780,Reaching Points,30.8%,Hard,12.6498
16,855,Exam Room,43.5%,Medium,76.5155
17,923,3Sum With Multiplicity,41.2%,Medium,100
18,968,Binary Tree Cameras,41.2%,Hard,1.15157
19,1053,Previous Permutation With One Swap,52.3%,Medium,5.87042
20,1074,Number of Submatrices That Sum to Target,65.9%,Hard,4.78707
21,1095,Find in Mountain Array,35.9%,Hard,2.49598
22,1256,Encode Number,69.0%,Medium,51.2605
23,1329,Sort the Matrix Diagonally,81.5%,Medium,8.47074
24,1935,Maximum Number of Words You Can Type,72.3%,Easy,0
25,1281,Subtract the Product and Sum of Digits of an Integer,85.7%,Easy,1.76453
26,1295,Find Numbers with Even Number of Digits,77.6%,Easy,0.150138
27,1354,Construct Target Array With Multiple Sums,31.3%,Hard,53.1554
28,1743,Restore the Array From Adjacent Pairs,66.9%,Medium,6.62662
29,1861,Rotating the Box,63.5%,Medium,1.7407
30,1876,Substrings of Size Three with Distinct Characters,69.2%,Easy,0
31,1878,Get Biggest Three Rhombus Sums in a Grid,44.1%,Medium,0
32,1865,Finding Pairs With a Certain Sum,47.2%,Medium,0
