,#,Title,Acceptance,Difficulty,Frequency
0,1,Two Sum,47.8%,Easy,6.95077
1,2,Add Two Numbers,37.2%,Medium,1.27
2,3,Longest Substring Without Repeating Characters,32.4%,Medium,0.906978
3,5,Longest Palindromic Substring,31.4%,Medium,2.04556
4,7,Reverse Integer,26.2%,Medium,0.795601
5,11,Container With Most Water,53.2%,Medium,0.120843
6,15,3Sum,29.8%,Medium,4.30226
7,17,Letter Combinations of a Phone Number,51.9%,Medium,27.8819
8,20,Valid Parentheses,40.5%,Easy,6.28054
9,22,Generate Parentheses,68.3%,Medium,4.11493
10,23,Merge k Sorted Lists,45.0%,Hard,4.81026
11,31,Next Permutation,34.7%,Medium,3.28238
12,32,Longest Valid Parentheses,30.7%,Hard,1.93286
13,37,Sudoku Solver,51.5%,Hard,2.93822
14,39,Combination Sum,62.5%,Medium,0.507497
15,41,First Missing Positive,35.2%,Hard,6.83615
16,42,Trapping Rain Water,54.2%,Hard,6.05425
17,45,Jump Game II,35.1%,Medium,0.230489
18,48,Rotate Image,64.0%,Medium,3.3782
19,49,Group Anagrams,62.3%,Medium,7.23194
20,50,"Pow(x, n)",31.6%,Medium,1.28541
21,53,Maximum Subarray,48.9%,Easy,0.56825
22,54,Spiral Matrix,39.3%,Medium,3.6432
23,56,Merge Intervals,43.2%,Medium,60.6212
24,62,Unique Paths,58.1%,Medium,1.39687
25,66,Plus One,42.1%,Easy,0.386755
26,76,Minimum Window Substring,37.9%,Hard,6.39288
27,98,Validate Binary Search Tree,29.7%,Medium,1.66616
28,99,Recover Binary Search Tree,44.8%,Medium,0.852505
29,103,Binary Tree Zigzag Level Order Traversal,52.1%,Medium,1.26317
30,121,Best Time to Buy and Sell Stock,52.9%,Easy,0.881708
31,122,Best Time to Buy and Sell Stock II,60.4%,Medium,0.436577
32,126,Word Ladder II,25.8%,Hard,5.05919
33,127,Word Ladder,33.7%,Hard,13.8398
34,128,Longest Consecutive Sequence,48.0%,Medium,0.338121
35,133,Clone Graph,43.4%,Medium,1.24355
36,134,Gas Station,43.2%,Medium,0.722054
37,138,Copy List with Random Pointer,44.5%,Medium,2.26623
38,139,Word Break,43.3%,Medium,4.58643
39,141,Linked List Cycle,44.3%,Easy,1.67162
40,146,LRU Cache,38.3%,Medium,77.4269
41,151,Reverse Words in a String,26.8%,Medium,7.56525
42,165,Compare Version Numbers,31.9%,Medium,9.07112
43,173,Binary Search Tree Iterator,63.3%,Medium,1.08029
44,179,Largest Number,32.0%,Medium,14.4543
45,186,Reverse Words in a String II,49.3%,Medium,13.0021
