,#,Title,Acceptance,Difficulty,Frequency
0,1,Two Sum,47.8%,Easy,8.68423
1,3,Longest Substring Without Repeating Characters,32.4%,Medium,1.58029
2,8,String to Integer (atoi),16.1%,Medium,2.78244
3,11,Container With Most Water,53.2%,Medium,0.375895
4,20,Valid Parentheses,40.5%,Easy,3.00079
5,23,Merge k Sorted Lists,45.0%,Hard,0.955865
6,56,Merge Intervals,43.2%,Medium,1.41354
7,94,Binary Tree Inorder Traversal,68.8%,Easy,0.64762
8,98,Validate Binary Search Tree,29.7%,Medium,1.29828
9,112,Path Sum,44.1%,Easy,0.417862
10,121,Best Time to Buy and Sell Stock,52.9%,Easy,3.10101
11,127,Word Ladder,33.7%,Hard,0.724473
12,136,Single Number,67.8%,Easy,3.25468
13,151,Reverse Words in a String,26.8%,Medium,0.435842
14,200,Number of Islands,52.0%,Medium,2.53666
15,204,Count Primes,32.8%,Medium,0.972998
16,209,Minimum Size Subarray Sum,41.6%,Medium,1.283
17,283,Move Zeroes,59.6%,Easy,3.69636
18,322,Coin Change,39.0%,Medium,1.29549
19,394,Decode String,54.6%,Medium,0.71261
20,696,Count Binary Substrings,62.9%,Easy,0.564991
21,724,Find Pivot Index,49.2%,Easy,0.474672
22,738,Monotone Increasing Digits,46.4%,Medium,100
23,704,Binary Search,54.7%,Easy,0.446615
24,706,Design HashMap,63.8%,Easy,0.445749
25,957,Prison Cells After N Days,39.8%,Medium,2.22016
26,509,Fibonacci Number,67.8%,Easy,2.28593
27,1177,Can Make Palindrome from Substring,36.9%,Medium,85.849
28,1200,Minimum Absolute Difference,67.6%,Easy,1.82074
29,1209,Remove All Adjacent Duplicates in String II,56.2%,Medium,1.50102
30,1283,Find the Smallest Divisor Given a Threshold,52.0%,Medium,61.4554
31,1312,Minimum Insertion Steps to Make a String Palindrome,62.0%,Hard,5.41918
32,1335,Minimum Difficulty of a Job Schedule,56.8%,Hard,3.00451
33,1349,Maximum Students Taking Exam,45.8%,Hard,53.941
34,1341,Movie Rating,59.1%,Medium,29.5474
