,#,Title,Acceptance,Difficulty,Frequency
0,1,Two Sum,47.8%,Easy,22.4343
1,2,Add Two Numbers,37.2%,Medium,7.16734
2,3,Longest Substring Without Repeating Characters,32.4%,Medium,5.11859
3,5,Longest Palindromic Substring,31.4%,Medium,7.01466
4,15,3Sum,29.8%,Medium,2.42255
5,17,Letter Combinations of a Phone Number,51.9%,Medium,9.71935
6,20,Valid Parentheses,40.5%,Easy,24.8727
7,26,Remove Duplicates from Sorted Array,47.7%,Easy,4.92115
8,33,Search in Rotated Sorted Array,37.0%,Medium,6.39426
9,37,Sudoku Solver,51.5%,Hard,9.39346
10,42,Trapping Rain Water,54.2%,Hard,6.09805
11,48,Rotate Image,64.0%,Medium,4.83334
12,49,Group Anagrams,62.3%,Medium,2.25763
13,53,Maximum Subarray,48.9%,Easy,2.22919
14,56,Merge Intervals,43.2%,Medium,7.85674
15,57,Insert Interval,36.6%,Medium,16.0841
16,75,Sort Colors,52.8%,Medium,0.59662
17,79,Word Search,38.9%,Medium,1.57174
18,103,Binary Tree Zigzag Level Order Traversal,52.1%,Medium,43.0064
19,121,Best Time to Buy and Sell Stock,52.9%,Easy,14.4875
20,127,Word Ladder,33.7%,Hard,27.9377
21,146,LRU Cache,38.3%,Medium,4.73734
22,200,Number of Islands,52.0%,Medium,14.932
23,206,Reverse Linked List,68.3%,Easy,1.17191
24,215,Kth Largest Element in an Array,61.4%,Medium,4.05718
25,238,Product of Array Except Self,62.7%,Medium,23.1325
26,300,Longest Increasing Subsequence,47.3%,Medium,2.93049
27,344,Reverse String,72.5%,Easy,2.59126
28,387,First Unique Character in a String,55.6%,Easy,6.70659
29,438,Find All Anagrams in a String,46.5%,Medium,5.49269
30,545,Boundary of Binary Tree,41.9%,Medium,50.3224
31,560,Subarray Sum Equals K,43.7%,Medium,2.32387
32,653,Two Sum IV - Input is a BST,58.0%,Easy,31.4532
33,741,Cherry Pickup,35.9%,Hard,100
34,706,Design HashMap,63.8%,Easy,75.1612
35,1010,Pairs of Songs With Total Durations Divisible by 60,51.9%,Medium,22.5404
36,1329,Sort the Matrix Diagonally,81.5%,Medium,13.1279
37,1290,Convert Binary Number in a Linked List to Integer,81.8%,Easy,21.8714
