,#,Title,Acceptance,Difficulty,Frequency
0,1,Two Sum,47.8%,Easy,4.44131
1,3,Longest Substring Without Repeating Characters,32.4%,Medium,1.77444
2,8,String to Integer (atoi),16.1%,Medium,1.77252
3,20,Valid Parentheses,40.5%,Easy,5.61128
4,49,Group Anagrams,62.3%,Medium,5.53512
5,53,Maximum Subarray,48.9%,Easy,7.85698
6,56,Merge Intervals,43.2%,Medium,54.9496
7,105,Construct Binary Tree from Preorder and Inorder Traversal,55.4%,Medium,2.83049
8,143,Reorder List,44.0%,Medium,48.1497
9,146,LRU Cache,38.3%,Medium,48.0505
10,164,Maximum Gap,40.5%,Hard,25.782
11,169,Majority Element,61.4%,Easy,3.68594
12,198,House Robber,45.0%,Medium,1.13415
13,200,Number of Islands,52.0%,Medium,36.2658
14,207,Course Schedule,44.7%,Medium,4.03551
15,236,Lowest Common Ancestor of a Binary Tree,52.7%,Medium,24.6407
16,238,Product of Array Except Self,62.7%,Medium,5.21124
17,253,Meeting Rooms II,48.4%,Medium,5.3198
18,273,Integer to English Words,29.0%,Hard,59.6288
19,277,Find the Celebrity,45.4%,Medium,9.8276
20,300,Longest Increasing Subsequence,47.3%,Medium,11.1887
21,378,Kth Smallest Element in a Sorted Matrix,58.5%,Medium,14.037
22,394,Decode String,54.6%,Medium,19.6308
23,416,Partition Equal Subset Sum,45.7%,Medium,4.10907
24,449,Serialize and Deserialize BST,55.4%,Medium,13.1417
25,498,Diagonal Traverse,53.3%,Medium,79.8144
26,628,Maximum Product of Three Numbers,46.7%,Easy,17.9336
27,622,Design Circular Queue,48.1%,Medium,41.4247
28,977,Squares of a Sorted Array,71.5%,Easy,3.56112
29,1291,Sequential Digits,57.5%,Medium,100
