,#,Title,Acceptance,Difficulty,Frequency
0,1,Two Sum,47.8%,Easy,45.6098
1,2,Add Two Numbers,37.2%,Medium,31.7389
2,3,Longest Substring Without Repeating Characters,32.4%,Medium,17.5483
3,4,Median of Two Sorted Arrays,32.9%,Hard,19.5014
4,5,Longest Palindromic Substring,31.4%,Medium,10.2506
5,6,Zigzag Conversion,40.0%,Medium,7.47635
6,7,Reverse Integer,26.2%,Medium,7.18865
7,8,String to Integer (atoi),16.1%,Medium,2.71964
8,10,Regular Expression Matching,28.0%,Hard,31.8188
9,13,Roman to Integer,57.7%,Easy,6.61051
10,14,Longest Common Prefix,38.1%,Easy,3.05514
11,15,3Sum,29.8%,Medium,11.802
12,16,3Sum Closest,46.9%,Medium,8.64511
13,17,Letter Combinations of a Phone Number,51.9%,Medium,30.1614
14,20,Valid Parentheses,40.5%,Easy,9.12096
15,21,Merge Two Sorted Lists,58.3%,Easy,9.91435
16,22,Generate Parentheses,68.3%,Medium,29.4146
17,23,Merge k Sorted Lists,45.0%,Hard,16.0683
18,24,Swap Nodes in Pairs,55.9%,Medium,4.08651
19,25,Reverse Nodes in k-Group,48.7%,Hard,4.49441
20,26,Remove Duplicates from Sorted Array,47.7%,Easy,1.19207
21,28,Implement strStr(),35.7%,Easy,4.95242
22,29,Divide Two Integers,17.0%,Medium,2.3937
23,31,Next Permutation,34.7%,Medium,8.35956
24,32,Longest Valid Parentheses,30.7%,Hard,30.6195
25,33,Search in Rotated Sorted Array,37.0%,Medium,6.66236
26,34,Find First and Last Position of Element in Sorted Array,38.9%,Medium,25.7682
27,36,Valid Sudoku,53.4%,Medium,42.6773
28,37,Sudoku Solver,51.5%,Hard,14.6708
29,39,Combination Sum,62.5%,Medium,12.5103
30,40,Combination Sum II,51.5%,Medium,4.9438
31,41,First Missing Positive,35.2%,Hard,8.56457
32,42,Trapping Rain Water,54.2%,Hard,46.4351
33,45,Jump Game II,35.1%,Medium,1.25465
34,46,Permutations,69.9%,Medium,5.54511
35,48,Rotate Image,64.0%,Medium,6.69129
36,49,Group Anagrams,62.3%,Medium,33.3318
37,50,"Pow(x, n)",31.6%,Medium,2.89602
38,51,N-Queens,54.6%,Hard,11.8529
39,53,Maximum Subarray,48.9%,Easy,11.769
40,54,Spiral Matrix,39.3%,Medium,19.448
41,55,Jump Game,36.8%,Medium,1.25614
42,56,Merge Intervals,43.2%,Medium,58.4147
43,57,Insert Interval,36.6%,Medium,17.329
44,62,Unique Paths,58.1%,Medium,3.13684
45,64,Minimum Path Sum,58.1%,Medium,6.6052
46,67,Add Binary,48.9%,Easy,1.59728
47,68,Text Justification,32.9%,Hard,78.5432
48,69,Sqrt(x),36.0%,Easy,7.72929
49,70,Climbing Stairs,50.0%,Easy,3.81878
50,72,Edit Distance,49.2%,Hard,5.11093
51,74,Search a 2D Matrix,40.7%,Medium,5.98132
52,75,Sort Colors,52.8%,Medium,1.99775
53,76,Minimum Window Substring,37.9%,Hard,26.2054
54,78,Subsets,68.4%,Medium,6.31587
55,79,Word Search,38.9%,Medium,16.5306
56,84,Largest Rectangle in Histogram,39.0%,Hard,2.15595
57,85,Maximal Rectangle,40.9%,Hard,28.5557
58,88,Merge Sorted Array,42.2%,Easy,2.76419
59,90,Subsets II,51.5%,Medium,2.73093
60,91,Decode Ways,28.9%,Medium,15.3917
61,93,Restore IP Addresses,39.9%,Medium,8.11244
62,97,Interleaving String,34.1%,Medium,18.4695
63,98,Validate Binary Search Tree,29.7%,Medium,1.66804
