,#,Title,Acceptance,Difficulty,Frequency
0,1,Two Sum,47.8%,Easy,18.1059
1,2,Add Two Numbers,37.2%,Medium,15.4216
2,3,Longest Substring Without Repeating Characters,32.4%,Medium,8.64291
3,4,Median of Two Sorted Arrays,32.9%,Hard,23.0829
4,5,Longest Palindromic Substring,31.4%,Medium,8.98514
5,8,String to Integer (atoi),16.1%,Medium,9.44558
6,11,Container With Most Water,53.2%,Medium,2.09116
7,14,Longest Common Prefix,38.1%,Easy,2.21437
8,15,3Sum,29.8%,Medium,9.44352
9,16,3Sum Closest,46.9%,Medium,2.00203
10,17,Letter Combinations of a Phone Number,51.9%,Medium,8.05976
11,19,Remove Nth Node From End of List,37.1%,Medium,0.981708
12,20,Valid Parentheses,40.5%,Easy,35.7898
13,21,Merge Two Sorted Lists,58.3%,Easy,7.43883
14,23,Merge k Sorted Lists,45.0%,Hard,14.9219
15,26,Remove Duplicates from Sorted Array,47.7%,Easy,2.77568
16,28,Implement strStr(),35.7%,Easy,0.610292
17,32,Longest Valid Parentheses,30.7%,Hard,1.55456
18,33,Search in Rotated Sorted Array,37.0%,Medium,27.3519
19,35,Search Insert Position,42.5%,Easy,0.507142
20,36,Valid Sudoku,53.4%,Medium,0.791806
21,38,Count and Say,47.6%,Medium,6.82486
22,41,First Missing Positive,35.2%,Hard,7.74725
23,42,Trapping Rain Water,54.2%,Hard,7.27823
24,49,Group Anagrams,62.3%,Medium,55.2929
25,53,Maximum Subarray,48.9%,Easy,1.43426
26,54,Spiral Matrix,39.3%,Medium,10.3689
27,56,Merge Intervals,43.2%,Medium,40.1502
28,62,Unique Paths,58.1%,Medium,5.02941
29,63,Unique Paths II,36.6%,Medium,2.68987
30,70,Climbing Stairs,50.0%,Easy,0.365369
31,71,Simplify Path,36.4%,Medium,0.709638
32,73,Set Matrix Zeroes,46.7%,Medium,0.443897
33,76,Minimum Window Substring,37.9%,Hard,15.7561
34,79,Word Search,38.9%,Medium,0.703803
