,#,Title,Acceptance,Difficulty,Frequency
0,1,Two Sum,47.8%,Easy,100
1,2,Add Two Numbers,37.2%,Medium,86.1077
2,3,Longest Substring Without Repeating Characters,32.4%,Medium,38.1774
3,4,Median of Two Sorted Arrays,32.9%,Hard,71.5573
4,5,Longest Palindromic Substring,31.4%,Medium,57.4102
5,7,Reverse Integer,26.2%,Medium,56.2708
6,9,Palindrome Number,51.6%,Easy,11.2023
7,11,Container With Most Water,53.2%,Medium,18.3503
8,12,Integer to Roman,58.4%,Medium,40.1647
9,13,Roman to Integer,57.7%,Easy,49.7953
10,14,Longest Common Prefix,38.1%,Easy,17.8946
11,15,3Sum,29.8%,Medium,33.9738
12,18,4Sum,36.7%,Medium,26.7127
13,20,Valid Parentheses,40.5%,Easy,23.8011
14,21,Merge Two Sorted Lists,58.3%,Easy,65.4691
15,22,Generate Parentheses,68.3%,Medium,27.664
16,23,Merge k Sorted Lists,45.0%,Hard,41.6781
17,28,Implement strStr(),35.7%,Easy,7.63724
18,31,Next Permutation,34.7%,Medium,11.1739
19,32,Longest Valid Parentheses,30.7%,Hard,8.636
20,33,Search in Rotated Sorted Array,37.0%,Medium,7.903
21,42,Trapping Rain Water,54.2%,Hard,15.086
22,45,Jump Game II,35.1%,Medium,7.74837
23,46,Permutations,69.9%,Medium,15.0041
24,49,Group Anagrams,62.3%,Medium,17.0554
25,53,Maximum Subarray,48.9%,Easy,16.206
26,55,Jump Game,36.8%,Medium,0.736873
27,56,Merge Intervals,43.2%,Medium,20.2097
28,60,Permutation Sequence,40.9%,Hard,7.92279
29,67,Add Binary,48.9%,Easy,5.30857
30,72,Edit Distance,49.2%,Hard,9.32733
31,74,Search a 2D Matrix,40.7%,Medium,8.38862
32,75,Sort Colors,52.8%,Medium,10.4571
33,77,Combinations,61.1%,Medium,5.78606
34,83,Remove Duplicates from Sorted List,47.8%,Easy,5.23377
35,85,Maximal Rectangle,40.9%,Hard,15.915
36,91,Decode Ways,28.9%,Medium,8.68399
37,93,Restore IP Addresses,39.9%,Medium,10.526
38,95,Unique Binary Search Trees II,47.3%,Medium,43.2874
39,98,Validate Binary Search Tree,29.7%,Medium,7.4754
40,102,Binary Tree Level Order Traversal,59.2%,Medium,12.7772
41,104,Maximum Depth of Binary Tree,70.1%,Easy,8.29509
42,108,Convert Sorted Array to Binary Search Tree,64.1%,Easy,10.854
43,118,Pascal's Triangle,60.4%,Easy,16.919
44,121,Best Time to Buy and Sell Stock,52.9%,Easy,32.7863
45,124,Binary Tree Maximum Path Sum,36.8%,Hard,6.97488
46,127,Word Ladder,33.7%,Hard,11.3262
47,131,Palindrome Partitioning,55.8%,Medium,10.4491
48,136,Single Number,67.8%,Easy,2.573
49,138,Copy List with Random Pointer,44.5%,Medium,16.4977
50,139,Word Break,43.3%,Medium,25.3339
51,141,Linked List Cycle,44.3%,Easy,10.8775
52,143,Reorder List,44.0%,Medium,5.27443
53,146,LRU Cache,38.3%,Medium,91.9412
54,148,Sort List,49.0%,Medium,24.6017
55,155,Min Stack,48.8%,Easy,26.6295
56,160,Intersection of Two Linked Lists,47.5%,Easy,27.1894
57,162,Find Peak Element,45.0%,Medium,9.44388
58,169,Majority Element,61.4%,Easy,21.8232
59,175,Combine Two Tables,67.8%,Easy,20.2174
60,178,Rank Scores,54.8%,Medium,3.72085
61,199,Binary Tree Right Side View,58.2%,Medium,3.4959
62,200,Number of Islands,52.0%,Medium,28.0015
63,202,Happy Number,52.2%,Easy,11.2226
64,205,Isomorphic Strings,41.6%,Easy,30.9454
65,206,Reverse Linked List,68.3%,Easy,24.2132
