,#,Title,Acceptance,Difficulty,Frequency
0,1,Two Sum,47.8%,Easy,8.87386
1,2,Add Two Numbers,37.2%,Medium,3.55793
2,3,Longest Substring Without Repeating Characters,32.4%,Medium,6.14531
3,4,Median of Two Sorted Arrays,32.9%,Hard,1.30279
4,5,Longest Palindromic Substring,31.4%,Medium,2.16143
5,19,Remove Nth Node From End of List,37.1%,Medium,0.899824
6,20,Valid Parentheses,40.5%,Easy,10.037
7,21,Merge Two Sorted Lists,58.3%,Easy,3.01355
8,22,Generate Parentheses,68.3%,Medium,20.3907
9,23,Merge k Sorted Lists,45.0%,Hard,13.6192
10,26,Remove Duplicates from Sorted Array,47.7%,Easy,0.446965
11,33,Search in Rotated Sorted Array,37.0%,Medium,0.580761
12,42,Trapping Rain Water,54.2%,Hard,10.5064
13,49,Group Anagrams,62.3%,Medium,19.9143
14,56,Merge Intervals,43.2%,Medium,8.99126
15,71,Simplify Path,36.4%,Medium,1.014
16,85,Maximal Rectangle,40.9%,Hard,0.620234
17,88,Merge Sorted Array,42.2%,Easy,3.21255
18,98,Validate Binary Search Tree,29.7%,Medium,6.55159
19,101,Symmetric Tree,50.2%,Easy,6.18851
20,124,Binary Tree Maximum Path Sum,36.8%,Hard,0.287927
21,125,Valid Palindrome,39.9%,Easy,35.266
22,146,LRU Cache,38.3%,Medium,21.7025
23,150,Evaluate Reverse Polish Notation,40.7%,Medium,1.42572
24,159,Longest Substring with At Most Two Distinct Characters,51.7%,Medium,0.787126
25,161,One Edit Distance,33.6%,Medium,25.1463
26,167,Two Sum II - Input Array Is Sorted,57.3%,Easy,0.157939
27,200,Number of Islands,52.0%,Medium,5.76089
28,206,Reverse Linked List,68.3%,Easy,22.8996
29,228,Summary Ranges,44.1%,Easy,62.1682
30,234,Palindrome Linked List,44.6%,Easy,0.122329
31,238,Product of Array Except Self,62.7%,Medium,0.342616
32,253,Meeting Rooms II,48.4%,Medium,10.0927
33,268,Missing Number,57.6%,Easy,2.30226
34,279,Perfect Squares,51.1%,Medium,0.0936513
35,281,Zigzag Iterator,60.5%,Medium,36.6361
36,283,Move Zeroes,59.6%,Easy,22.2829
37,332,Reconstruct Itinerary,39.4%,Hard,1.44093
38,341,Flatten Nested List Iterator,57.5%,Medium,3.51768
39,350,Intersection of Two Arrays II,53.8%,Easy,1.58191
40,356,Line Reflection,33.9%,Medium,100
41,362,Design Hit Counter,66.5%,Medium,9.83647
42,380,Insert Delete GetRandom O(1),50.7%,Medium,6.2253
43,387,First Unique Character in a String,55.6%,Easy,0.0979991
44,392,Is Subsequence,50.0%,Easy,1.10051
45,415,Add Strings,50.8%,Easy,0.17574
46,438,Find All Anagrams in a String,46.5%,Medium,6.29644
47,443,String Compression,46.2%,Medium,54.4191
48,487,Max Consecutive Ones II,48.2%,Medium,14.0734
49,523,Continuous Subarray Sum,26.1%,Medium,0.265027
50,560,Subarray Sum Equals K,43.7%,Medium,19.3926
51,567,Permutation in String,44.4%,Medium,16.1999
52,771,Jewels and Stones,87.4%,Easy,3.09653
53,849,Maximize Distance to Closest Person,44.9%,Medium,36.6289
54,470,Implement Rand10() Using Rand7(),46.4%,Medium,8.14132
55,933,Number of Recent Calls,72.9%,Easy,16.7993
56,938,Range Sum of BST,84.0%,Easy,0.378755
57,977,Squares of a Sorted Array,71.5%,Easy,0.929514
58,986,Interval List Intersections,69.7%,Medium,2.44653
59,1004,Max Consecutive Ones III,61.6%,Medium,2.95265
60,1493,Longest Subarray of 1's After Deleting One Element,59.8%,Medium,81.0841
61,1650,Lowest Common Ancestor of a Binary Tree III,77.4%,Medium,0.314311
