,#,Title,Acceptance,Difficulty,Frequency
0,1,Two Sum,47.8%,Easy,2.03761
1,3,Longest Substring Without Repeating Characters,32.4%,Medium,3.19887
2,14,Longest Common Prefix,38.1%,Easy,2.82436
3,49,Group Anagrams,62.3%,Medium,9.88892
4,56,Merge Intervals,43.2%,Medium,17.616
5,126,Word Ladder II,25.8%,Hard,4.48466
6,127,Word Ladder,33.7%,Hard,8.46662
7,151,Reverse Words in a String,26.8%,Medium,0.128329
8,206,Reverse Linked List,68.3%,Easy,0.458176
9,207,Course Schedule,44.7%,Medium,2.27758
10,218,The Skyline Problem,37.8%,Hard,10.2187
11,242,Valid Anagram,60.2%,Easy,0.149932
12,347,Top K Frequent Elements,63.7%,Medium,28.1033
13,355,Design Twitter,33.4%,Medium,52.2883
14,380,Insert Delete GetRandom O(1),50.7%,Medium,0.653622
15,381,Insert Delete GetRandom O(1) - Duplicates allowed,35.2%,Hard,0
16,394,Decode String,54.6%,Medium,0.372512
17,443,String Compression,46.2%,Medium,0
18,564,Find the Closest Palindrome,20.9%,Hard,78.6516
19,599,Minimum Index Sum of Two Lists,52.8%,Easy,73.6367
20,692,Top K Frequent Words,53.9%,Medium,19.3208
21,784,Letter Case Permutation,70.5%,Medium,1.25613
22,528,Random Pick with Weight,45.6%,Medium,20.3578
23,1126,Active Businesses,68.4%,Medium,14.9801
24,1333,"Filter Restaurants by Vegan-Friendly, Price and Distance",58.3%,Medium,100
25,1436,Destination City,77.4%,Easy,39.9932
26,1455,Check If a Word Occurs As a Prefix of Any Word in a Sentence,64.4%,Easy,0
