,#,Title,Acceptance,Difficulty,Frequency
0,4,Median of Two Sorted Arrays,32.9%,Hard,3.13321
1,20,Valid Parentheses,40.5%,Easy,2.77663
2,22,Generate Parentheses,68.3%,Medium,0
3,42,Trapping Rain Water,54.2%,Hard,82.8478
4,52,N-Queens II,64.3%,Hard,100
5,109,Convert Sorted List to Binary Search Tree,53.9%,Medium,20.8893
6,125,Valid Palindrome,39.9%,Easy,0
7,146,LRU Cache,38.3%,Medium,7.27036
8,155,Min Stack,48.8%,Easy,0
9,168,Excel Sheet Column Title,33.0%,Easy,0
10,169,Majority Element,61.4%,Easy,0
11,200,Number of Islands,52.0%,Medium,4.57999
12,206,Reverse Linked List,68.3%,Easy,9.74243
13,207,Course Schedule,44.7%,Medium,0
14,210,Course Schedule II,44.9%,Medium,10.104
15,229,Majority Element II,40.7%,Medium,0
16,239,Sliding Window Maximum,45.7%,Hard,0
17,251,Flatten 2D Vector,47.2%,Medium,37.2404
18,255,Verify Preorder Sequence in Binary Search Tree,47.1%,Medium,60.0441
19,261,Graph Valid Tree,44.7%,Medium,0
20,317,Shortest Distance from All Buildings,43.7%,Hard,10.8572
21,518,Coin Change 2,55.1%,Medium,12.5442
