,#,Title,Acceptance,Difficulty,Frequency
0,1,Two Sum,47.8%,Easy,3.59087
1,3,Longest Substring Without Repeating Characters,32.4%,Medium,1.61526
2,4,Median of Two Sorted Arrays,32.9%,Hard,11.6881
3,8,String to Integer (atoi),16.1%,Medium,2.51408
4,20,Valid Parentheses,40.5%,Easy,17.8816
5,23,Merge k Sorted Lists,45.0%,Hard,6.97365
6,33,Search in Rotated Sorted Array,37.0%,Medium,3.56997
7,42,Trapping Rain Water,54.2%,Hard,1.92434
8,43,Multiply Strings,36.2%,Medium,18.067
9,53,Maximum Subarray,48.9%,Easy,1.79476
10,54,Spiral Matrix,39.3%,Medium,27.8518
11,56,Merge Intervals,43.2%,Medium,1.82525
12,57,Insert Interval,36.6%,Medium,1.84566
13,72,Edit Distance,49.2%,Hard,2.10704
14,98,Validate Binary Search Tree,29.7%,Medium,5.99885
15,113,Path Sum II,52.3%,Medium,33.2661
16,121,Best Time to Buy and Sell Stock,52.9%,Easy,2.0479
17,127,Word Ladder,33.7%,Hard,79.5187
18,128,Longest Consecutive Sequence,48.0%,Medium,1.35173
19,139,Word Break,43.3%,Medium,8.16807
20,146,LRU Cache,38.3%,Medium,100
21,151,Reverse Words in a String,26.8%,Medium,4.98091
22,173,Binary Search Tree Iterator,63.3%,Medium,0.857906
23,200,Number of Islands,52.0%,Medium,2.86691
24,206,Reverse Linked List,68.3%,Easy,0.656865
25,207,Course Schedule,44.7%,Medium,1.63518
26,212,Word Search II,38.4%,Hard,1.50602
27,215,Kth Largest Element in an Array,61.4%,Medium,0.721425
28,223,Rectangle Area,39.4%,Medium,22.6431
29,236,Lowest Common Ancestor of a Binary Tree,52.7%,Medium,55.9873
30,273,Integer to English Words,29.0%,Hard,60.936
31,283,Move Zeroes,59.6%,Easy,2.49537
32,295,Find Median from Data Stream,49.5%,Hard,23.6698
33,362,Design Hit Counter,66.5%,Medium,82.7074
34,380,Insert Delete GetRandom O(1),50.7%,Medium,0.320044
35,387,First Unique Character in a String,55.6%,Easy,67.4786
36,437,Path Sum III,49.6%,Medium,2.57688
37,443,String Compression,46.2%,Medium,8.04826
38,487,Max Consecutive Ones II,48.2%,Medium,38.6947
39,503,Next Greater Element II,60.6%,Medium,7.18637
40,529,Minesweeper,63.4%,Medium,71.7785
41,692,Top K Frequent Words,53.9%,Medium,1.22537
42,739,Daily Temperatures,66.1%,Medium,38.4848
43,428,Serialize and Deserialize N-ary Tree,63.4%,Hard,6.66832
44,528,Random Pick with Weight,45.6%,Medium,2.19362
45,509,Fibonacci Number,67.8%,Easy,1.63067
46,981,Time Based Key-Value Store,53.4%,Medium,20.2586
47,1004,Max Consecutive Ones III,61.6%,Medium,1.17261
48,1328,Break a Palindrome,52.2%,Medium,14.723
